# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 24 03:51:20 2026
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
#
kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_impact,koi_impact_err1,koi_impact_err2,koi_prad,koi_prad_err1,koi_prad_err2
K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,0.1460,0.3180,-0.1460,2.26,2.600e-01,-1.500e-01
K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.5860,0.0590,-0.4430,2.83,3.200e-01,-1.900e-01
K00753.01,,CANDIDATE,CANDIDATE,0.9690,5.1260,-0.0770,14.60,3.920e+00,-1.310e+00
K00754.01,,FALSE POSITIVE,FALSE POSITIVE,1.2760,0.1150,-0.0920,33.46,8.500e+00,-2.830e+00
K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,0.7010,0.2350,-0.4780,2.75,8.800e-01,-3.500e-01
K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,0.5380,0.0300,-0.4280,3.90,1.270e+00,-4.200e-01
K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,0.7620,0.1390,-0.5320,2.77,9.000e-01,-3.000e-01
K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.7550,0.2120,-0.5230,1.59,5.200e-01,-1.700e-01
K00114.01,,FALSE POSITIVE,FALSE POSITIVE,1.1690,7.1330,-0.0440,39.21,6.450e+00,-9.670e+00
K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,0.0520,0.2620,-0.0520,5.76,2.200e-01,-4.900e-01
K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8180,0.0010,-0.0010,13.04,5.100e-01,-5.100e-01
K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,0.2240,0.1590,-0.2160,16.10,8.100e-01,-9.100e-01
